modelo,realizacion,clustering,distancia_media_CG,diametro_CG,asortatividad,fraccion_componente_gigante,componentes
Configuracion (grado preservado),35,0.020342172136788288,4.0683890577507595,8,-0.09734440149094059,0.7966101694915254,16
Configuracion (grado preservado),36,0.023428212236786518,4.186713212736698,9,-0.015662023668348082,0.7796610169491526,18
Configuracion (grado preservado),37,0.012577503180693608,4.206597707576181,9,-0.02686417834116068,0.8305084745762712,16
Configuracion (grado preservado),38,0.016582719374344503,4.076340326340326,9,-0.11834844150246428,0.8135593220338984,17
Configuracion (grado preservado),39,0.006221954626740271,4.026092628832355,8,-0.0842752210393256,0.8305084745762712,16
Configuracion (grado preservado),40,0.017001053117703165,4.013658638306746,9,-0.07750725259116804,0.7853107344632768,18
Configuracion (grado preservado),41,0.018230961276823693,3.8852713178294573,8,-0.03409890323401894,0.7344632768361582,23
Configuracion (grado preservado),42,0.0066725868570335165,4.079976361666502,9,-0.07890752192526974,0.807909604519774,17
Configuracion (grado preservado),43,0.017045892145593045,4.118669463590051,9,-0.09897804904739227,0.8022598870056498,18
Configuracion (grado preservado),44,0.004604620481988377,4.155528918189991,10,-0.045534436129182065,0.8022598870056498,18
Configuracion (grado preservado),45,0.014920893884004553,4.210962007668177,9,-0.1636238166384157,0.8587570621468926,13
Configuracion (grado preservado),46,0.0022047853553337103,4.015900383141762,8,-0.1388857250692876,0.8192090395480226,16
Configuracion (grado preservado),47,0.018985719608850215,3.9408653337564794,8,-0.04973524413148658,0.7796610169491526,20
Configuracion (grado preservado),48,0.007756504416524357,4.160057471264368,9,-0.12791694861882497,0.8192090395480226,16
Configuracion (grado preservado),49,0.01884484833138871,4.093497153131556,10,-0.07260630992181256,0.8022598870056498,18
Configuracion (grado preservado),50,0.012974640292686156,4.042265795206972,8,-0.03946660234807513,0.768361581920904,19
Configuracion (grado preservado),51,0.01695009967691922,3.967755991285403,8,-0.09897804904739249,0.768361581920904,21
Configuracion (grado preservado),52,0.02815417384211004,4.455953316126136,12,0.09565938839272771,0.7570621468926554,21
Configuracion (grado preservado),53,0.005165216232015834,4.11238057716931,9,-0.1300173526199773,0.807909604519774,17
Configuracion (grado preservado),54,0.013097408112363247,4.032404215502807,8,-0.05907037302549718,0.807909604519774,17
Configuracion (grado preservado),55,0.009774728244319474,4.152777777777778,8,-0.07190617525476173,0.8192090395480226,17
Configuracion (grado preservado),56,0.03178566752843922,4.131798756798757,9,-0.12231587128241869,0.8135593220338984,17
Configuracion (grado preservado),57,0.015802628190464685,4.01773089440018,9,-0.06887225836420824,0.7570621468926554,21
Configuracion (grado preservado),58,0.007881610099955066,4.181944928546532,9,-0.12604992284002298,0.8587570621468926,13
Configuracion (grado preservado),59,0.02136531722772999,4.4656130268199234,11,-0.1092466908308042,0.8192090395480226,17
Configuracion (grado preservado),60,0.019674370347351405,4.210233029381966,10,-0.005860138329636928,0.7966101694915254,19
Configuracion (grado preservado),61,0.006385653045672985,4.179107259342093,9,-0.1428531548492421,0.8305084745762712,15
Configuracion (grado preservado),62,0.015582533304367804,4.089665653495441,10,-0.032231877455216947,0.7966101694915254,16
Configuracion (grado preservado),63,0.021340272112954063,4.136050344620917,9,-0.06140415524899996,0.8022598870056498,16
Configuracion (grado preservado),64,0.02010386589150298,3.871225806451613,8,0.04338266658626863,0.7062146892655368,26
Configuracion (grado preservado),65,0.010361580002656773,4.234778121775026,10,-0.13841896862458689,0.864406779661017,12
Configuracion (grado preservado),66,0.025703145493773605,4.308697571743929,10,-0.1272168139517745,0.8531073446327684,14
Configuracion (grado preservado),67,0.02646748307266752,3.997276688453159,8,-0.08590886859577752,0.768361581920904,20
Configuracion (grado preservado),68,0.018451859428928227,4.028616316911682,9,0.029146595022902518,0.7570621468926554,21
Configuracion (grado preservado),69,0.01600746102241616,4.415970066077541,9,-0.12581654461767292,0.8983050847457628,10
Configuracion (grado preservado),70,0.009169401367806152,4.011469085601084,8,-0.01776242766950027,0.7853107344632768,17
Configuracion (grado preservado),71,0.011910732449117292,4.333812260536399,11,-0.1167147939460124,0.8192090395480226,15
Configuracion (grado preservado),72,0.026712095555565144,4.1722113502935425,8,-0.19979744110270634,0.8305084745762712,16
Configuracion (grado preservado),73,0.02093842330631962,4.288123620309051,10,-0.1141476335001594,0.8531073446327684,13
Configuracion (grado preservado),74,0.025284643903786475,4.137720051524259,9,-0.0427338974609787,0.7740112994350282,20
Configuracion (grado preservado),75,0.027158855324358817,4.136136041568257,9,-0.0467013272409331,0.8248587570621468,15
Configuracion (grado preservado),76,0.010402067007251454,3.981420437518729,8,-0.0520690263549894,0.8022598870056498,17
Configuracion (grado preservado),77,0.032740822745807786,4.235540905004495,9,0.03054686435700396,0.8022598870056498,18
Configuracion (grado preservado),78,0.02626883658787946,4.099781044729434,8,-0.14985450151974988,0.7853107344632768,18
Configuracion (grado preservado),79,0.019333329976400766,4.15422607399124,9,-0.1379522121798866,0.8305084745762712,16
Configuracion (grado preservado),80,0.022664594000586024,4.182998701428429,9,-0.04670132724093314,0.8022598870056498,17
Configuracion (grado preservado),81,0.012445647664989639,4.126456061876805,9,-0.09921142726974272,0.8305084745762712,15
Configuracion (grado preservado),82,0.0102011785710689,3.995135433941404,8,-0.007960542330789317,0.7627118644067796,18
Configuracion (grado preservado),83,0.011920035947952198,4.27375478927203,11,0.010242959012531002,0.8192090395480226,16
Configuracion (grado preservado),84,0.016001910094631932,3.8879183070866143,7,0.03894848036161331,0.7231638418079096,24
Configuracion (grado preservado),85,0.014937031138426956,4.228256070640176,10,-0.10201196593794598,0.8531073446327684,13
Configuracion (grado preservado),86,0.02940458326799304,4.33841642228739,9,-0.1449535588503945,0.8757062146892656,12
Configuracion (grado preservado),87,0.029815112143128097,4.237479270315092,12,0.04174901902981678,0.7627118644067796,19
Configuracion (grado preservado),88,0.01583296047403724,4.264408793820558,10,-0.17879340109118264,0.8700564971751412,12
Configuracion (grado preservado),89,0.02316505270144353,4.028252449305081,8,0.010709715457231702,0.751412429378531,21
Configuracion (grado preservado),90,0.017622721062402022,4.007513954486904,8,-0.09057643304278278,0.7740112994350282,20
Configuracion (grado preservado),91,0.015611582760137098,4.191089801218659,10,0.05225103903557869,0.8022598870056498,17
Configuracion (grado preservado),92,0.019147248010657782,4.321134396830362,11,-0.07844076548056905,0.7853107344632768,18
Configuracion (grado preservado),93,0.019131878055108364,4.035854730511219,8,-0.04320065390567927,0.7457627118644068,21
Configuracion (grado preservado),94,0.016950027742649875,4.064118979611937,10,-0.08824265081928014,0.807909604519774,16
Configuracion (grado preservado),95,0.022692276705237824,4.214362387290683,10,0.03498105058165897,0.7740112994350282,20
Configuracion (grado preservado),96,0.017868412559339776,3.9993164730006834,8,-0.009827568109591692,0.751412429378531,21
Configuracion (grado preservado),97,0.018061220379266243,4.062394792952531,11,-0.002359464994383305,0.7570621468926554,20
Configuracion (grado preservado),98,0.01018110890992247,4.1386474877634605,8,-0.17062516330892336,0.8022598870056498,17
Configuracion (grado preservado),99,0.019612926492288407,4.059222187467418,9,-0.0635045592501521,0.7853107344632768,19
Configuracion (grado preservado),100,0.009429575630971444,4.112494632889653,11,-0.12675005750707405,0.7740112994350282,18
