nodo,distancia,campus,capa
ROUTER-L2TP-BALZAY,3,Campus Balzay,wan
DATCC-2A-C2,3,Campus Central,core
CC-ADM-D40,3,Campus Central,agregacion
CC-AETUC-D30,3,Campus Central,agregacion
CC-ARQUITECTURA-D107,3,Campus Central,agregacion
CC-BIBLIOTECA-D112,3,Campus Central,agregacion
CC-BLOQUE-IQ,3,Campus Central,agregacion
CC-ECONOMIA-D51,3,Campus Central,agregacion
CC-FILOSOFIA-A-D108,3,Campus Central,agregacion
CC-FILOSOFIA-B-D111,3,Campus Central,agregacion
CC-JURISPRUDENCIA-D110,3,Campus Central,agregacion
CC-MONJAS-D126,3,Campus Central,agregacion
CC-PROMAS-D31,3,Campus Central,agregacion
CC-PSICOLOGIA-D125,3,Campus Central,agregacion
CC-QUIMICA-D109,3,Campus Central,agregacion
SW-ARUBA-CENTRO-HISTORICO,3,Sede Centro Historico,acceso
MEDADM-1A-A11,4,Campus Paraiso,acceso
MEDADM-1B-A12,4,Campus Paraiso,acceso
MEDADM-1C-A13,4,Campus Paraiso,acceso
MEDADM-1D-A14,4,Campus Paraiso,acceso
MEDADM-1E-A15,4,Campus Paraiso,acceso
MEDADM-0F-A16,4,Campus Paraiso,acceso
MEDADM-0G-A17,4,Campus Paraiso,acceso
MEDADM-1H-A18,4,Campus Paraiso,acceso
ENF-2B-A22,4,Campus Paraiso,acceso
ENF-3A-A21,4,Campus Paraiso,acceso
CENDIA-0A-A19,4,Campus Paraiso,acceso
INV-1A-A61,4,Campus Paraiso,acceso
INV-1A-A161,4,Campus Paraiso,acceso
INV-1B-A62,4,Campus Paraiso,acceso
ODO-1A-A151,4,Campus Paraiso,acceso
ODO-1A-A51,4,Campus Paraiso,acceso
ODO-0B-A52,4,Campus Paraiso,acceso
ODO-0C-A53,4,Campus Paraiso,acceso
ODO-0C-A154,4,Campus Paraiso,acceso
POS-0A-A31,4,Campus Paraiso,acceso
POS-1B-A32,4,Campus Paraiso,acceso
POS-2C-A33,4,Campus Paraiso,acceso
POSLAB-0D-A34,4,Campus Paraiso,acceso
POS-0A-A131,4,Campus Paraiso,acceso
TECMED-1A-A41,4,Campus Paraiso,acceso
TECMED-0B-A42,4,Campus Paraiso,acceso
TECMED-2C-A43,4,Campus Paraiso,acceso
TECMED-3D-A44,4,Campus Paraiso,acceso
AUL1-2A-A110,4,Campus Balzay,acceso
AUL1-2A-A111,4,Campus Balzay,acceso
AUL1-3A-A104,4,Campus Balzay,acceso
AUL1-3A-A112,4,Campus Balzay,acceso
AUL2-01A-A124-SUBLAB2,4,Campus Balzay,acceso
AUL2-01A-A24-SUB,4,Campus Balzay,acceso
AUL2-0A-A106,4,Campus Balzay,acceso
AUL2-0A-A118,4,Campus Balzay,acceso
AUL2-0A-A119,4,Campus Balzay,acceso
AUL2-0A-A120,4,Campus Balzay,acceso
AUL2-0A-A121,4,Campus Balzay,acceso
AUL2-0A-A122,4,Campus Balzay,acceso
AUL2-0A-A123,4,Campus Balzay,acceso
