ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
21,CC-MONJAS-D126,Campus Central,agregacion,Agregación / distribución,0.07811688311688311,0.17484719845424626,True,0.0,0.0,0,,0,7,0.03977272727272729,0.16666666666666674,0.035,1,0,0.0,0.0,0.043711799613561565,0.1,0.0,0.025000000000000012,0.0,0.16871179961356159
22,CP-POSGRADO-D2,Campus Paraiso,agregacion,Agregación / distribución,0.06714285714285714,0.15028429193822998,True,0.0,0.0,0,,0,6,0.03409090909090906,0.1428571428571427,0.035,1,0,0.0,0.0,0.037571072984557495,0.1,0.0,0.021428571428571404,0.0,0.15899964441312892
23,CC-ECONOMIA-D51,Campus Central,agregacion,Agregación / distribución,0.06701298701298701,0.14999360665401676,True,0.0,0.0,0,,0,6,0.03409090909090906,0.1428571428571427,0.035,1,0,0.0,0.0,0.03749840166350419,0.1,0.0,0.021428571428571404,0.0,0.1589269730920756
24,CC-ADM-D40,Campus Central,agregacion,Agregación / distribución,0.05616883116883117,0.12572138542221364,True,0.0,0.0,0,,0,5,0.02840909090909094,0.11904761904761917,0.035,1,0,0.0,0.0,0.03143034635555341,0.1,0.0,0.017857142857142873,0.0,0.1492874892126963
25,CP-INVESTIGACION-D5,Campus Paraiso,agregacion,Agregación / distribución,0.0561038961038961,0.12557604278010703,True,0.0,0.0,0,,0,5,0.02840909090909094,0.11904761904761917,0.035,1,0,0.0,0.0,0.03139401069502676,0.1,0.0,0.017857142857142873,0.0,0.14925115355216964
26,CP-TECMEDICO-D3,Campus Paraiso,agregacion,Agregación / distribución,0.0561038961038961,0.12557604278010703,True,0.0,0.0,0,,0,5,0.02840909090909094,0.11904761904761917,0.035,1,0,0.0,0.0,0.03139401069502676,0.1,0.0,0.017857142857142873,0.0,0.14925115355216964
27,CC-FILOSOFIA-A-D108,Campus Central,agregacion,Agregación / distribución,0.055974025974025975,0.12528535749589384,True,0.0,0.0,0,,0,5,0.02840909090909094,0.11904761904761917,0.035,1,0,0.0,0.0,0.03132133937397346,0.1,0.0,0.017857142857142873,0.0,0.14917848223111635
28,PE2-BALZAY,Campus Balzay,wan,Router PE / tránsito WAN,0.14603666769738194,0.32687046896476035,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,9,8,0.045454545454545456,0.21621621621621623,0.08171761724119009,0.0,0.0,0.0,0.06486486486486487,0.14658248210605496
29,CC-JURISPRUDENCIA-D110,Campus Central,agregacion,Agregación / distribución,0.045064935064935065,0.10086779362198414,True,0.0,0.0,0,,0,4,0.022727272727272707,0.09523809523809515,0.035,1,0,0.0,0.0,0.025216948405496036,0.1,0.0,0.014285714285714271,0.0,0.1395026626912103
30,CC-QUIMICA-D109,Campus Central,agregacion,Agregación / distribución,0.045,0.10072245097987753,True,0.0,0.0,0,,0,4,0.022727272727272707,0.09523809523809515,0.035,1,0,0.0,0.0,0.025180612744969383,0.1,0.0,0.014285714285714271,0.0,0.13946632703068365
