source,target,rol,capa_u,capa_v,trafico_mbps_original,capacidad_mbps_original,capacidad_mbps_modelo,fuente_capacidad,trafico_mbps_modelo,trafico_imputado,w_saltos,w_latencia,w_carga
CC-PROMAS-D31,CREDU-0B-A94,principal,agregacion,acceso,17.32,,1000.0,estimada_1G_acceso_agregacion,17.32,False,1.0,2.0,0.01732
PRO-1A-A73,PRO-3A-A74,principal,acceso,acceso,,,1000.0,estimada_1G_acceso,16.48,True,1.0,2.0,0.01648
CC-BIBLIOTECA-D112,CCBIB-1A-A71,principal,agregacion,acceso,189.65,,1000.0,estimada_1G_acceso_agregacion,189.65,False,1.0,2.0,0.18965
CC-BIBLIOTECA-D112,VIN-0A-A72,principal,agregacion,acceso,36.32,,1000.0,estimada_1G_acceso_agregacion,36.32,False,1.0,2.0,0.03632
CC-MONJAS-D126,MON-0A-A103,principal,agregacion,acceso,3.82,,1000.0,estimada_1G_acceso_agregacion,3.82,False,1.0,2.0,0.00382
CC-MONJAS-D126,MON-0A-A104,principal,agregacion,acceso,39.99,,1000.0,estimada_1G_acceso_agregacion,39.99,False,1.0,2.0,0.039990000000000005
CC-MONJAS-D126,MON-1C-A105,principal,agregacion,acceso,2.76,,1000.0,estimada_1G_acceso_agregacion,2.76,False,1.0,2.0,0.00276
CC-MONJAS-D126,MON-1C-A106,principal,agregacion,acceso,16.36,,1000.0,estimada_1G_acceso_agregacion,16.36,False,1.0,2.0,0.01636
CC-MONJAS-D126,MON-1B-A67,principal,agregacion,acceso,36.31,,1000.0,estimada_1G_acceso_agregacion,36.31,False,1.0,2.0,0.03631
MON-1B-A67,MON-1B-A68,principal,acceso,acceso,37.86,,1000.0,estimada_1G_acceso,37.86,False,1.0,2.0,0.03786
CC-MONJAS-D126,ECOK3-0A-A63,principal,agregacion,acceso,32.03,,1000.0,estimada_1G_acceso_agregacion,32.03,False,1.0,2.0,0.03203
CC-ECONOMIA-D51,TECQUI-0A-A10,principal,agregacion,acceso,,,1000.0,estimada_1G_acceso_agregacion,16.48,True,1.0,2.0,0.01648
TECQUI-0A-A10,TECQUI-0A-A11,principal,acceso,acceso,,,1000.0,estimada_1G_acceso,16.48,True,1.0,2.0,0.01648
TECQUI-0A-A10,TECQUI-0A-A12,principal,acceso,acceso,7.6,,1000.0,estimada_1G_acceso,7.6,False,1.0,2.0,0.0076
CCJ-CJURIDICO-D4,CCJ-1A-A10,principal,agregacion,acceso,39.04,,1000.0,estimada_1G_acceso_agregacion,39.04,False,1.0,2.0,0.03904
CCJ-CJURIDICO-D4,CCJ-1A-A11,principal,agregacion,acceso,1.56,,1000.0,estimada_1G_acceso_agregacion,1.56,False,1.0,2.0,0.00156
DT-0A-C12,DT-0A-C13,principal,core,core,243.03,,10000.0,estimada_10G_troncal_core,243.03,False,1.0,1.1,0.024303
DT-0A-C12,BAL-AUL1-D4,principal,core,agregacion,1.64,,10000.0,estimada_10G_troncal_core,1.64,False,1.0,1.1,0.000164
DT-0A-C13,BAL-AUL1-D4,secundario,core,agregacion,171.71,,10000.0,estimada_10G_troncal_core,171.71,False,1.0,1.1,0.017171000000000002
DT-0A-C12,BAL-AUL2-D1,principal,core,agregacion,21.06,,10000.0,estimada_10G_troncal_core,21.06,False,1.0,1.1,0.002106
DT-0A-C13,BAL-AUL2-D1,secundario,core,agregacion,145.25,,10000.0,estimada_10G_troncal_core,145.25,False,1.0,1.1,0.014525
DT-0A-C12,BAL-CENTEC-D2,principal,core,agregacion,17.36,,10000.0,estimada_10G_troncal_core,17.36,False,1.0,1.1,0.001736
DT-0A-C13,BAL-CENTEC-D2,secundario,core,agregacion,58.16,,10000.0,estimada_10G_troncal_core,58.16,False,1.0,1.1,0.005816
DT-0A-C12,CB-EADMI-D6,principal,core,agregacion,7.18,,10000.0,estimada_10G_troncal_core,7.18,False,1.0,1.1,0.000718
DT-0A-C13,CB-EADMI-D6,secundario,core,agregacion,76.66,,10000.0,estimada_10G_troncal_core,76.66,False,1.0,1.1,0.007666
BAL-AUL2-D1,MICRORED-1A-A109,principal,agregacion,acceso,11.02,,1000.0,estimada_1G_acceso_agregacion,11.02,False,1.0,2.0,0.01102
BAL-CENTEC-D2,CEA-0A-A108,principal,agregacion,acceso,4.99,,1000.0,estimada_1G_acceso_agregacion,4.99,False,1.0,2.0,0.0049900000000000005
BAL-CENTEC-D2,VLIR-0A-A107,principal,agregacion,acceso,13.75,,1000.0,estimada_1G_acceso_agregacion,13.75,False,1.0,2.0,0.01375
CB-EADMI-D6,BAL-EADM-D3,principal,agregacion,agregacion,19.63,,10000.0,estimada_10G_agregacion,19.63,False,1.0,1.1,0.001963
BAL-AUL1-D4,AUL1-2A-A110,principal,agregacion,acceso,65.9,,1000.0,estimada_1G_acceso_agregacion,65.9,False,1.0,2.0,0.0659
BAL-AUL1-D4,AUL1-2A-A111,principal,agregacion,acceso,77.62,,1000.0,estimada_1G_acceso_agregacion,77.62,False,1.0,2.0,0.07762000000000001
BAL-AUL1-D4,AUL1-3A-A112,principal,agregacion,acceso,29.78,,1000.0,estimada_1G_acceso_agregacion,29.78,False,1.0,2.0,0.02978
BAL-AUL1-D4,AUL1-3A-A104,principal,agregacion,acceso,84.67,,1000.0,estimada_1G_acceso_agregacion,84.67,False,1.0,2.0,0.08467
BAL-AUL2-D1,AUL2-0A-A106,principal,agregacion,acceso,68.5,,1000.0,estimada_1G_acceso_agregacion,68.5,False,1.0,2.0,0.0685
BAL-AUL2-D1,AUL2-0A-A122,principal,agregacion,acceso,1.22,,1000.0,estimada_1G_acceso_agregacion,1.22,False,1.0,2.0,0.00122
BAL-AUL2-D1,AUL2-0A-A121,principal,agregacion,acceso,81.71,,1000.0,estimada_1G_acceso_agregacion,81.71,False,1.0,2.0,0.08170999999999999
BAL-AUL2-D1,AUL2-0A-A119,principal,agregacion,acceso,1.33,,1000.0,estimada_1G_acceso_agregacion,1.33,False,1.0,2.0,0.00133
BAL-AUL2-D1,AUL2-0A-A118,principal,agregacion,acceso,2.69,,1000.0,estimada_1G_acceso_agregacion,2.69,False,1.0,2.0,0.00269
BAL-AUL2-D1,AUL2-0A-A120,principal,agregacion,acceso,5.03,,1000.0,estimada_1G_acceso_agregacion,5.03,False,1.0,2.0,0.005030000000000001
BAL-AUL2-D1,AUL2-0A-A123,principal,agregacion,acceso,1.35,,1000.0,estimada_1G_acceso_agregacion,1.35,False,1.0,2.0,0.00135
BAL-AUL2-D1,AUL2-01A-A124-SUBLAB2,principal,agregacion,acceso,25.46,,1000.0,estimada_1G_acceso_agregacion,25.46,False,1.0,2.0,0.02546
BAL-AUL2-D1,AUL2-01A-A24-SUB,principal,agregacion,acceso,78.4,,1000.0,estimada_1G_acceso_agregacion,78.4,False,1.0,2.0,0.07840000000000001
BAL-CENTEC-D2,CTBLOQ1-0A-A101,principal,agregacion,acceso,5.65,,1000.0,estimada_1G_acceso_agregacion,5.65,False,1.0,2.0,0.0056500000000000005
BAL-CENTEC-D2,CTBLOQ2-0A-A102,principal,agregacion,acceso,22.29,,1000.0,estimada_1G_acceso_agregacion,22.29,False,1.0,2.0,0.02229
BAL-CENTEC-D2,CTBLOQ3-0A-A103,principal,agregacion,acceso,12.91,,1000.0,estimada_1G_acceso_agregacion,12.91,False,1.0,2.0,0.01291
CB-EADMI-D6,EA-1A-A115,principal,agregacion,acceso,50.53,,1000.0,estimada_1G_acceso_agregacion,50.53,False,1.0,2.0,0.05053
CB-EADMI-D6,EA-0A-A114,principal,agregacion,acceso,20.91,,1000.0,estimada_1G_acceso_agregacion,20.91,False,1.0,2.0,0.02091
CB-EADMI-D6,EA-1A-A116,principal,agregacion,acceso,1.86,,1000.0,estimada_1G_acceso_agregacion,1.86,False,1.0,2.0,0.00186
BAL-EADM-D3,QUIN-1A-A117,principal,agregacion,acceso,54.06,,1000.0,estimada_1G_acceso_agregacion,54.06,False,1.0,2.0,0.054060000000000004
QUIN-1A-A117,QUIN-1A-A128,principal,acceso,acceso,,,1000.0,estimada_1G_acceso,16.48,True,1.0,2.0,0.01648
AGRPRI-1A-D10,TALL-0A-A12,principal,agregacion,acceso,10.56,,1000.0,estimada_1G_acceso_agregacion,10.56,False,1.0,2.0,0.01056
AGRPRI-1A-D10,DAN-1A-A11,principal,agregacion,acceso,10.28,,1000.0,estimada_1G_acceso_agregacion,10.28,False,1.0,2.0,0.01028
AGRPRI-1A-D10,LABMAC-1A-A13,principal,agregacion,acceso,19.07,,1000.0,estimada_1G_acceso_agregacion,19.07,False,1.0,2.0,0.01907
AGRPRI-1A-D10,ART-0A-A15,principal,agregacion,acceso,40.41,,1000.0,estimada_1G_acceso_agregacion,40.41,False,1.0,2.0,0.040409999999999995
AGRPRI-1A-D10,BLOQUED-0A-A21,principal,agregacion,acceso,9.74,,1000.0,estimada_1G_acceso_agregacion,9.74,False,1.0,2.0,0.00974
AGRPRI-1A-D10,BIB-2A-A16,principal,agregacion,acceso,68.33,,1000.0,estimada_1G_acceso_agregacion,68.33,False,1.0,2.0,0.06833
AGRPRI-1A-D10,LAC-0A-A17,principal,agregacion,acceso,11.7,,1000.0,estimada_1G_acceso_agregacion,11.7,False,1.0,2.0,0.011699999999999999
AGRPRI-1A-D10,LAB-1A-A18,principal,agregacion,acceso,17.54,,1000.0,estimada_1G_acceso_agregacion,17.54,False,1.0,2.0,0.01754
AGRPRI-1A-D10,AGRPRI-1A-A19,principal,agregacion,acceso,30.48,,1000.0,estimada_1G_acceso_agregacion,30.48,False,1.0,2.0,0.03048
AGRPRI-1A-D10,ANF-0A-A14,principal,agregacion,acceso,6.44,,1000.0,estimada_1G_acceso_agregacion,6.44,False,1.0,2.0,0.00644
AGRPRI-1A-D10,CEN-1A-A20,principal,agregacion,acceso,5.32,,1000.0,estimada_1G_acceso_agregacion,5.32,False,1.0,2.0,0.00532
HOS-0A-D05,HOS-0A-A10,principal,agregacion,acceso,26.42,,1000.0,estimada_1G_acceso_agregacion,26.42,False,1.0,2.0,0.026420000000000003
HOS-0A-D05,HOS-2A-A11,principal,agregacion,acceso,91.33,,1000.0,estimada_1G_acceso_agregacion,91.33,False,1.0,2.0,0.09133
HOS-0A-D05,HOS-1A-A12,principal,agregacion,acceso,50.77,,1000.0,estimada_1G_acceso_agregacion,50.77,False,1.0,2.0,0.05077
HOS-0A-D05,HOS-0A-A13,principal,agregacion,acceso,21.7,,1000.0,estimada_1G_acceso_agregacion,21.7,False,1.0,2.0,0.0217
CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,principal,core,wan,317.83,,10000.0,estimada_10G_WAN_interconexion,317.83,False,1.0,1.1,0.031783
CPAR-C10,CP-EADMINA1-D6,principal,core,agregacion,76.7,,10000.0,estimada_10G_troncal_core,76.7,False,1.0,1.1,0.007670000000000001
CPAR-C10,CP-INVESTIGACION-D5,principal,core,agregacion,84.7,,10000.0,estimada_10G_troncal_core,84.7,False,1.0,1.1,0.00847
CPAR-C10,CP-ENFERMERIA-D1,principal,core,agregacion,147.9,,10000.0,estimada_10G_troncal_core,147.9,False,1.0,1.1,0.014790000000000001
CPAR-C10,CP-TECMEDICO-D3,principal,core,agregacion,113.56,,10000.0,estimada_10G_troncal_core,113.56,False,1.0,1.1,0.011356
CPAR-C10,CP-POSGRADO-D2,principal,core,agregacion,40.79,,10000.0,estimada_10G_troncal_core,40.79,False,1.0,1.1,0.004079
CPAR-C10,CP-ODONTOLOGIA-D4,principal,core,agregacion,216.33,,10000.0,estimada_10G_troncal_core,216.33,False,1.0,1.1,0.021633000000000003
CP-EADMINA1-D6,MEDADM-1A-A11,principal,agregacion,acceso,26.87,,1000.0,estimada_1G_acceso_agregacion,26.87,False,1.0,2.0,0.02687
CP-EADMINA1-D6,MEDADM-1B-A12,principal,agregacion,acceso,1.77,,1000.0,estimada_1G_acceso_agregacion,1.77,False,1.0,2.0,0.00177
CP-EADMINA1-D6,MEDADM-1C-A13,principal,agregacion,acceso,1.77,,1000.0,estimada_1G_acceso_agregacion,1.77,False,1.0,2.0,0.00177
CP-EADMINA1-D6,MEDADM-1D-A14,principal,agregacion,acceso,20.96,,1000.0,estimada_1G_acceso_agregacion,20.96,False,1.0,2.0,0.02096
CP-EADMINA1-D6,MEDADM-1E-A15,principal,agregacion,acceso,1.77,,1000.0,estimada_1G_acceso_agregacion,1.77,False,1.0,2.0,0.00177
CP-EADMINA1-D6,MEDADM-0F-A16,principal,agregacion,acceso,35.48,,1000.0,estimada_1G_acceso_agregacion,35.48,False,1.0,2.0,0.03548
CP-EADMINA1-D6,MEDADM-0G-A17,principal,agregacion,acceso,2.33,,1000.0,estimada_1G_acceso_agregacion,2.33,False,1.0,2.0,0.00233
CP-EADMINA1-D6,MEDADM-1H-A18,principal,agregacion,acceso,11.62,,1000.0,estimada_1G_acceso_agregacion,11.62,False,1.0,2.0,0.011619999999999998
CP-INVESTIGACION-D5,INV-1A-A61,principal,agregacion,acceso,1.65,,1000.0,estimada_1G_acceso_agregacion,1.65,False,1.0,2.0,0.00165
CP-INVESTIGACION-D5,INV-1A-A161,principal,agregacion,acceso,51.44,,1000.0,estimada_1G_acceso_agregacion,51.44,False,1.0,2.0,0.05144
CP-INVESTIGACION-D5,CENDIA-0A-A19,principal,agregacion,acceso,6.65,,1000.0,estimada_1G_acceso_agregacion,6.65,False,1.0,2.0,0.0066500000000000005
CP-INVESTIGACION-D5,INV-1B-A62,principal,agregacion,acceso,61.87,,1000.0,estimada_1G_acceso_agregacion,61.87,False,1.0,2.0,0.061869999999999994
INV-1B-A62,INV-1B-A162,principal,acceso,acceso,54.09,,1000.0,estimada_1G_acceso,54.09,False,1.0,2.0,0.054090000000000006
CP-ODONTOLOGIA-D4,ODO-1A-A151,principal,agregacion,acceso,22.75,,1000.0,estimada_1G_acceso_agregacion,22.75,False,1.0,2.0,0.02275
CP-ODONTOLOGIA-D4,ODO-1A-A51,principal,agregacion,acceso,2.82,,1000.0,estimada_1G_acceso_agregacion,2.82,False,1.0,2.0,0.00282
CP-ODONTOLOGIA-D4,ODO-0B-A52,principal,agregacion,acceso,14.98,,1000.0,estimada_1G_acceso_agregacion,14.98,False,1.0,2.0,0.01498
CP-ODONTOLOGIA-D4,ODO-0C-A53,principal,agregacion,acceso,18.33,,1000.0,estimada_1G_acceso_agregacion,18.33,False,1.0,2.0,0.01833
CP-ODONTOLOGIA-D4,ODO-0C-A154,principal,agregacion,acceso,53.04,,1000.0,estimada_1G_acceso_agregacion,53.04,False,1.0,2.0,0.05304
ODO-0B-A52,ODO-0B-A152,principal,acceso,acceso,11.77,,1000.0,estimada_1G_acceso,11.77,False,1.0,2.0,0.01177
ODO-0C-A53,ODO-0C-A153,principal,acceso,acceso,14.26,,1000.0,estimada_1G_acceso,14.26,False,1.0,2.0,0.01426
ODO-0C-A53,ODO-0C-A54,principal,acceso,acceso,1.56,,1000.0,estimada_1G_acceso,1.56,False,1.0,2.0,0.00156
CP-TECMEDICO-D3,TECMED-1A-A41,principal,agregacion,acceso,38.04,,1000.0,estimada_1G_acceso_agregacion,38.04,False,1.0,2.0,0.03804
CP-TECMEDICO-D3,TECMED-0B-A42,principal,agregacion,acceso,29.42,,1000.0,estimada_1G_acceso_agregacion,29.42,False,1.0,2.0,0.02942
CP-TECMEDICO-D3,TECMED-2C-A43,principal,agregacion,acceso,53.8,,1000.0,estimada_1G_acceso_agregacion,53.8,False,1.0,2.0,0.0538
CP-TECMEDICO-D3,TECMED-3D-A44,principal,agregacion,acceso,54.63,,1000.0,estimada_1G_acceso_agregacion,54.63,False,1.0,2.0,0.054630000000000005
TECMED-1A-A41,TECMED-1A-A141,principal,acceso,acceso,21.7,,1000.0,estimada_1G_acceso,21.7,False,1.0,2.0,0.0217
CP-POSGRADO-D2,POS-0A-A31,principal,agregacion,acceso,1.87,,1000.0,estimada_1G_acceso_agregacion,1.87,False,1.0,2.0,0.0018700000000000001
CP-POSGRADO-D2,POS-1B-A32,principal,agregacion,acceso,7.82,,1000.0,estimada_1G_acceso_agregacion,7.82,False,1.0,2.0,0.00782
CP-POSGRADO-D2,POS-2C-A33,principal,agregacion,acceso,13.57,,1000.0,estimada_1G_acceso_agregacion,13.57,False,1.0,2.0,0.01357
CP-POSGRADO-D2,POSLAB-0D-A34,principal,agregacion,acceso,16.6,,1000.0,estimada_1G_acceso_agregacion,16.6,False,1.0,2.0,0.0166
