nodo,distancia,campus,capa
DT-0A-C12,3,Campus Balzay,core
DT-0A-C13,3,Campus Balzay,core
PE2-BALZAY,3,Campus Balzay,wan
ROUTER-CAMPUS-YANUNCAY,3,Campus Yanuncay,wan
CCJ-CJURIDICO-D4,3,Campus Central,agregacion
HOS-0A-D05,3,Campus Hospitalidad,agregacion
ROUTER-CAMPUS-HUAYNA-CAPAC,3,Campus Paraiso,wan
ROUTER-L2TP-BALZAY,3,Campus Balzay,wan
POST-2A-A66,4,Campus Central,acceso
BAL-AUL1-D4,4,Campus Balzay,agregacion
BAL-AUL2-D1,4,Campus Balzay,agregacion
BAL-CENTEC-D2,4,Campus Balzay,agregacion
CB-EADMI-D6,4,Campus Balzay,agregacion
AGRPRI-1A-D10,4,Campus Yanuncay,agregacion
CCJ-1A-A10,4,Campus Central,acceso
CCJ-1A-A11,4,Campus Central,acceso
HOS-0A-A10,4,Campus Hospitalidad,acceso
HOS-0A-A13,4,Campus Hospitalidad,acceso
HOS-2A-A11,4,Campus Hospitalidad,acceso
HOS-1A-A12,4,Campus Hospitalidad,acceso
CPAR-C10,4,Campus Paraiso,core
AUL1-2A-A110,5,Campus Balzay,acceso
AUL1-2A-A111,5,Campus Balzay,acceso
AUL1-3A-A104,5,Campus Balzay,acceso
AUL1-3A-A112,5,Campus Balzay,acceso
AUL2-01A-A124-SUBLAB2,5,Campus Balzay,acceso
AUL2-01A-A24-SUB,5,Campus Balzay,acceso
AUL2-0A-A106,5,Campus Balzay,acceso
AUL2-0A-A118,5,Campus Balzay,acceso
AUL2-0A-A119,5,Campus Balzay,acceso
AUL2-0A-A120,5,Campus Balzay,acceso
AUL2-0A-A121,5,Campus Balzay,acceso
AUL2-0A-A122,5,Campus Balzay,acceso
AUL2-0A-A123,5,Campus Balzay,acceso
MICRORED-1A-A109,5,Campus Balzay,acceso
CEA-0A-A108,5,Campus Balzay,acceso
VLIR-0A-A107,5,Campus Balzay,acceso
CTBLOQ1-0A-A101,5,Campus Balzay,acceso
CTBLOQ2-0A-A102,5,Campus Balzay,acceso
CTBLOQ3-0A-A103,5,Campus Balzay,acceso
BAL-EADM-D3,5,Campus Balzay,agregacion
EA-1A-A115,5,Campus Balzay,acceso
EA-0A-A114,5,Campus Balzay,acceso
EA-1A-A116,5,Campus Balzay,acceso
AGRPRI-1A-A19,5,Campus Yanuncay,acceso
TALL-0A-A12,5,Campus Yanuncay,acceso
DAN-1A-A11,5,Campus Yanuncay,acceso
LABMAC-1A-A13,5,Campus Yanuncay,acceso
ART-0A-A15,5,Campus Yanuncay,acceso
BLOQUED-0A-A21,5,Campus Yanuncay,acceso
BIB-2A-A16,5,Campus Yanuncay,acceso
LAC-0A-A17,5,Campus Yanuncay,acceso
LAB-1A-A18,5,Campus Yanuncay,acceso
ANF-0A-A14,5,Campus Yanuncay,acceso
CEN-1A-A20,5,Campus Yanuncay,acceso
CP-EADMINA1-D6,5,Campus Paraiso,agregacion
CP-ENFERMERIA-D1,5,Campus Paraiso,agregacion
CP-INVESTIGACION-D5,5,Campus Paraiso,agregacion
CP-ODONTOLOGIA-D4,5,Campus Paraiso,agregacion
CP-POSGRADO-D2,5,Campus Paraiso,agregacion
CP-TECMEDICO-D3,5,Campus Paraiso,agregacion
QUIN-1A-A117,6,Campus Balzay,acceso
MEDADM-1A-A11,6,Campus Paraiso,acceso
MEDADM-1B-A12,6,Campus Paraiso,acceso
MEDADM-1C-A13,6,Campus Paraiso,acceso
MEDADM-1D-A14,6,Campus Paraiso,acceso
MEDADM-1E-A15,6,Campus Paraiso,acceso
MEDADM-0F-A16,6,Campus Paraiso,acceso
MEDADM-0G-A17,6,Campus Paraiso,acceso
MEDADM-1H-A18,6,Campus Paraiso,acceso
ENF-2B-A22,6,Campus Paraiso,acceso
ENF-3A-A21,6,Campus Paraiso,acceso
CENDIA-0A-A19,6,Campus Paraiso,acceso
INV-1A-A61,6,Campus Paraiso,acceso
INV-1A-A161,6,Campus Paraiso,acceso
INV-1B-A62,6,Campus Paraiso,acceso
ODO-1A-A151,6,Campus Paraiso,acceso
ODO-1A-A51,6,Campus Paraiso,acceso
ODO-0B-A52,6,Campus Paraiso,acceso
ODO-0C-A53,6,Campus Paraiso,acceso
ODO-0C-A154,6,Campus Paraiso,acceso
POS-0A-A31,6,Campus Paraiso,acceso
POS-1B-A32,6,Campus Paraiso,acceso
POS-2C-A33,6,Campus Paraiso,acceso
POSLAB-0D-A34,6,Campus Paraiso,acceso
POS-0A-A131,6,Campus Paraiso,acceso
TECMED-1A-A41,6,Campus Paraiso,acceso
TECMED-0B-A42,6,Campus Paraiso,acceso
TECMED-2C-A43,6,Campus Paraiso,acceso
TECMED-3D-A44,6,Campus Paraiso,acceso
QUIN-1A-A128,7,Campus Balzay,acceso
ENF-2B-A122,7,Campus Paraiso,acceso
INV-1B-A162,7,Campus Paraiso,acceso
ODO-0B-A152,7,Campus Paraiso,acceso
ODO-0C-A153,7,Campus Paraiso,acceso
ODO-0C-A54,7,Campus Paraiso,acceso
POS-2C-A133,7,Campus Paraiso,acceso
TECMED-1A-A141,7,Campus Paraiso,acceso
