campus,algoritmo,iteracion,longitud_camino,delta_mbps,flujo_acumulado_mbps,camino
Campus Central,Edmonds-Karp BFS,40,8,1000,40000,SUPER_SOURCE::Campus Central -> QUI-0A-A78 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,41,8,1000,41000,SUPER_SOURCE::Campus Central -> QUI-1A-A83 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,42,8,1000,42000,SUPER_SOURCE::Campus Central -> QUI-2A-A82 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,43,11,1000,43000,SUPER_SOURCE::Campus Central -> TEAT-0A-A75 -> CC-ADM-D40 -> DATCC-2A-C2 -> SW-ARUBA-MUSEO -> ROUTER-CAMPUS-MUSEO -> ROUTER-L2TP-BALZAY -> DT-0A-C13 -> PE2-BALZAY -> PE1-CENTRAL -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,44,12,1000,44000,SUPER_SOURCE::Campus Central -> TECQUI-0A-A10 -> CC-ECONOMIA-D51 -> DATCC-2A-C3 -> SW-ARUBA-CENTRO-HISTORICO -> ROUTER-CAMPUS-CENTRO-HISTORICO -> ROUTER-L2TP-BALZAY -> DT-0A-C12 -> DT-0A-C13 -> PE2-BALZAY -> PE1-CENTRAL -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,1,7,1000,1000,SUPER_SOURCE::Campus Balzay -> AUL1-2A-A110 -> BAL-AUL1-D4 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,2,6,1000,2000,SUPER_SOURCE::Campus Balzay -> AUL1-2A-A111 -> BAL-AUL1-D4 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,3,6,1000,3000,SUPER_SOURCE::Campus Balzay -> AUL1-3A-A104 -> BAL-AUL1-D4 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,4,6,1000,4000,SUPER_SOURCE::Campus Balzay -> AUL1-3A-A112 -> BAL-AUL1-D4 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,5,6,1000,5000,SUPER_SOURCE::Campus Balzay -> AUL2-01A-A124-SUBLAB2 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,6,6,1000,6000,SUPER_SOURCE::Campus Balzay -> AUL2-01A-A24-SUB -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,7,6,1000,7000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A106 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,8,6,1000,8000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A118 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,9,6,1000,9000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A119 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,10,6,1000,10000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A120 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,11,11,1000,11000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A121 -> BAL-AUL2-D1 -> DT-0A-C12 -> ROUTER-L2TP-BALZAY -> ROUTER-CAMPUS-CENTRO-HISTORICO -> SW-ARUBA-CENTRO-HISTORICO -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,12,7,1000,12000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A122 -> BAL-AUL2-D1 -> DT-0A-C13 -> FORTIGATE-1800F-BALZAY -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,13,5,1000,13000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A123 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,14,5,1000,14000,SUPER_SOURCE::Campus Balzay -> CEA-0A-A108 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
