nodo,campus,capa,carga_inicial
ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,0.004409271284271284
ROUTER-CAMPUS-MUSEO,Sede Museo,wan,0.004404761904761905
MEDADM-1D-A14,Campus Paraiso,acceso,0.0
MEDADM-0G-A17,Campus Paraiso,acceso,0.0
TECMED-2C-A43,Campus Paraiso,acceso,0.0
MON-1C-A105,Campus Central,acceso,0.0
MON-1B-A68,Campus Central,acceso,0.0
LAC-0A-A17,Campus Yanuncay,acceso,0.0
MON-0A-A104,Campus Central,acceso,0.0
MON-0A-A103,Campus Central,acceso,0.0
TECMED-3D-A44,Campus Paraiso,acceso,0.0
MEDADM-0F-A16,Campus Paraiso,acceso,0.0
MICRORED-1A-A109,Campus Balzay,acceso,0.0
MEDADM-1E-A15,Campus Paraiso,acceso,0.0
VIN-0A-A72,Campus Central,acceso,0.0
MEDADM-1A-A11,Campus Paraiso,acceso,0.0
MEDADM-1B-A12,Campus Paraiso,acceso,0.0
MON-1C-A106,Campus Central,acceso,0.0
MEDADM-1H-A18,Campus Paraiso,acceso,0.0
MEDADM-1C-A13,Campus Paraiso,acceso,0.0
TECQUI-0A-A12,Campus Central,acceso,0.0
TECQUI-0A-A11,Campus Central,acceso,0.0
POST-2A-A66,Campus Central,acceso,0.0
TECMED-1A-A141,Campus Paraiso,acceso,0.0
ODO-0B-A152,Campus Paraiso,acceso,0.0
QUI-1A-A83,Campus Central,acceso,0.0
LAB-1A-A18,Campus Yanuncay,acceso,0.0
POSLAB-0D-A34,Campus Paraiso,acceso,0.0
PSIC-1A-A53,Campus Central,acceso,0.0
PSIC-2B-A54,Campus Central,acceso,0.0
POS-2C-A133,Campus Paraiso,acceso,0.0
POS-1B-A32,Campus Paraiso,acceso,0.0
POS-0A-A31,Campus Paraiso,acceso,0.0
POS-0A-A131,Campus Paraiso,acceso,0.0
QUI-0A-A78,Campus Central,acceso,0.0
QUI-2A-A81,Campus Central,acceso,0.0
ODO-0C-A153,Campus Paraiso,acceso,0.0
QUIN-1A-A128,Campus Balzay,acceso,0.0
ODO-1A-A51,Campus Paraiso,acceso,0.0
TALL-0A-A12,Campus Yanuncay,acceso,0.0
TEAT-0A-A75,Campus Central,acceso,0.0
TECMED-0B-A42,Campus Paraiso,acceso,0.0
ODO-1A-A151,Campus Paraiso,acceso,0.0
ODO-0C-A54,Campus Paraiso,acceso,0.0
PRO-3A-A74,Campus Central,acceso,0.0
ODO-0C-A154,Campus Paraiso,acceso,0.0
LABMAC-1A-A13,Campus Yanuncay,acceso,0.0
FILOA-0B-A56,Campus Central,acceso,0.0
JUR-1A-A62,Campus Central,acceso,0.0
AUL2-0A-A122,Campus Balzay,acceso,0.0
AUL2-01A-A24-SUB,Campus Balzay,acceso,0.0
AUL2-0A-A106,Campus Balzay,acceso,0.0
AUL2-0A-A118,Campus Balzay,acceso,0.0
AUL2-0A-A119,Campus Balzay,acceso,0.0
AUL2-0A-A120,Campus Balzay,acceso,0.0
AUL2-0A-A121,Campus Balzay,acceso,0.0
AUL2-0A-A123,Campus Balzay,acceso,0.0
JUR-1A-A61,Campus Central,acceso,0.0
BIB-2A-A16,Campus Yanuncay,acceso,0.0
