u,v,campus_u,campus_v,capa_u,capa_v,campus_resumen,capas
CENDIA-0A-A19,CP-INVESTIGACION-D5,Campus Paraiso,Campus Paraiso,acceso,agregacion,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-EADMINA1-D6,MEDADM-1A-A11,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-1B-A12,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-1C-A13,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-1D-A14,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-1E-A15,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-0F-A16,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-0G-A17,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-EADMINA1-D6,MEDADM-1H-A18,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ENFERMERIA-D1,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-ENFERMERIA-D1,ENF-2B-A22,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ENFERMERIA-D1,ENF-3A-A21,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-INVESTIGACION-D5,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-INVESTIGACION-D5,INV-1A-A61,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-INVESTIGACION-D5,INV-1A-A161,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-INVESTIGACION-D5,INV-1B-A62,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ODONTOLOGIA-D4,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-ODONTOLOGIA-D4,ODO-1A-A151,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ODONTOLOGIA-D4,ODO-1A-A51,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ODONTOLOGIA-D4,ODO-0B-A52,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ODONTOLOGIA-D4,ODO-0C-A53,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-ODONTOLOGIA-D4,ODO-0C-A154,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
