source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
PE2-BALZAY,FORTIGATE-1800F-BALZAY,Campus Balzay,Campus Balzay,wan,interconexion,wan,Trafico hacia internet L3 10 Gbps,10000.0,10000,explicita,False
PE1-CENTRAL,FORTIGATE-1800F-CENTRAL,Campus Central,Campus Central,wan,interconexion,wan,Trafico hacia internet L3 10 Gbps,10000.0,10000,explicita,False
PE2-CENTRAL,FORTIGATE-1800F-CENTRAL,Campus Central,Campus Central,wan,interconexion,wan,Trafico hacia internet L3 10 Gbps,10000.0,10000,explicita,False
FORTIGATE-1800F-BALZAY,DT-0A-C12,Campus Balzay,Campus Balzay,interconexion,core,wan,LAG 2x10G red LAN L3 10 Gbps,10000.0,10000,explicita,False
FORTIGATE-1800F-BALZAY,DT-0A-C13,Campus Balzay,Campus Balzay,interconexion,core,wan,LAG 2x10G red LAN L3 10 Gbps,10000.0,10000,explicita,False
FORTIGATE-1800F-CENTRAL,DATCC-2A-C2,Campus Central,Campus Central,interconexion,core,wan,LAG 2x10G red LAN L3 10 Gbps,10000.0,10000,explicita,False
FORTIGATE-1800F-CENTRAL,DATCC-2A-C3,Campus Central,Campus Central,interconexion,core,wan,LAG 2x10G red LAN L3 10 Gbps,10000.0,10000,explicita,False
PE2-BALZAY,DT-0A-C13,Campus Balzay,Campus Balzay,wan,core,wan,MPLS L2 2x10 Gbps Trafico Data Center L2,20000.0,20000,explicita,False
PE2-CENTRAL,DATCC-2A-C3,Campus Central,Campus Central,wan,core,wan,MPLS L2 2x10 Gbps Trafico Data Center L2,20000.0,20000,explicita,False
FORTIGATE-1800F-BALZAY,FORTIGATE-1800F-CENTRAL,Campus Balzay,Campus Central,interconexion,interconexion,wan,HA de Firewalls Perimetrales L2 1 Gbps,1000.0,1000,explicita,False
DT-0A-C12,ROUTER-L2TP-BALZAY,Campus Balzay,Campus Balzay,core,wan,wan,L2TP 1 Gbps backup,1000.0,1000,explicita,False
DT-0A-C13,ROUTER-L2TP-BALZAY,Campus Balzay,Campus Balzay,core,wan,wan,L2TP 1 Gbps backup,1000.0,1000,explicita,False
ROUTER-L2TP-BALZAY,ROUTER-CAMPUS-MUSEO,Campus Balzay,Sede Museo,wan,wan,wan,L2TP 1 Gbps backup,1000.0,1000,explicita,False
ROUTER-L2TP-BALZAY,ROUTER-CAMPUS-CENTRO-HISTORICO,Campus Balzay,Sede Centro Historico,wan,wan,wan,L2TP 1 Gbps backup,1000.0,1000,explicita,False
ROUTER-CAMPUS-MUSEO,SW-ARUBA-MUSEO,Sede Museo,Sede Museo,wan,acceso,wan,,,10000,estimada_10G_WAN_MPLS,False
SW-ARUBA-MUSEO,DATCC-2A-C2,Sede Museo,Campus Central,acceso,core,wan,Fibra oscura red LAN L3 10 Gbps,10000.0,10000,explicita,False
ROUTER-CAMPUS-CENTRO-HISTORICO,SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,Sede Centro Historico,wan,acceso,wan,,,10000,estimada_10G_WAN_MPLS,False
SW-ARUBA-CENTRO-HISTORICO,DATCC-2A-C3,Sede Centro Historico,Campus Central,acceso,core,wan,Fibra oscura red LAN L3 10 Gbps,10000.0,10000,explicita,False
