removed,f,S,S2
137,0.6555023923444976,0.2033898305084746,0.01694915254237288
138,0.6602870813397129,0.2033898305084746,0.01694915254237288
139,0.6650717703349283,0.2033898305084746,0.01694915254237288
140,0.6698564593301436,0.2033898305084746,0.011299435028248588
141,0.6746411483253588,0.2033898305084746,0.005649717514124294
142,0.6794258373205742,0.2033898305084746,0.005649717514124294
143,0.6842105263157895,0.2033898305084746,0.005649717514124294
144,0.6889952153110048,0.2033898305084746,0.005649717514124294
145,0.69377990430622,0.2033898305084746,0.005649717514124294
146,0.6985645933014354,0.2033898305084746,0.005649717514124294
147,0.7033492822966507,0.2033898305084746,0.005649717514124294
148,0.7081339712918661,0.192090395480226,0.011299435028248588
149,0.7129186602870813,0.192090395480226,0.005649717514124294
150,0.7177033492822966,0.192090395480226,0.005649717514124294
151,0.722488038277512,0.192090395480226,0.005649717514124294
152,0.7272727272727273,0.192090395480226,0.005649717514124294
153,0.7320574162679426,0.192090395480226,0.005649717514124294
154,0.7368421052631579,0.192090395480226,0.005649717514124294
155,0.7416267942583732,0.192090395480226,0.005649717514124294
156,0.7464114832535885,0.14689265536723164,0.04519774011299435
157,0.7511961722488039,0.14689265536723164,0.03954802259887006
158,0.7559808612440191,0.14689265536723164,0.03954802259887006
159,0.7607655502392344,0.14689265536723164,0.03954802259887006
160,0.7655502392344498,0.14689265536723164,0.03954802259887006
161,0.7703349282296651,0.14689265536723164,0.03954802259887006
162,0.7751196172248804,0.14689265536723164,0.03954802259887006
163,0.7799043062200957,0.14689265536723164,0.03954802259887006
164,0.784688995215311,0.14124293785310735,0.03954802259887006
165,0.7894736842105263,0.14124293785310735,0.03954802259887006
166,0.7942583732057417,0.14124293785310735,0.03954802259887006
167,0.7990430622009569,0.14124293785310735,0.03954802259887006
168,0.8038277511961722,0.14124293785310735,0.03954802259887006
169,0.8086124401913876,0.13559322033898305,0.03954802259887006
170,0.8133971291866029,0.13559322033898305,0.03954802259887006
171,0.8181818181818182,0.13559322033898305,0.03954802259887006
172,0.8229665071770335,0.12994350282485875,0.03954802259887006
173,0.8277511961722488,0.12429378531073447,0.03954802259887006
174,0.8325358851674641,0.11864406779661017,0.03954802259887006
175,0.8373205741626795,0.11864406779661017,0.03954802259887006
176,0.8421052631578947,0.11864406779661017,0.03954802259887006
177,0.84688995215311,0.11864406779661017,0.03954802259887006
178,0.8516746411483254,0.11299435028248588,0.03954802259887006
179,0.8564593301435407,0.10734463276836158,0.03954802259887006
180,0.861244019138756,0.1016949152542373,0.03954802259887006
181,0.8660287081339713,0.1016949152542373,0.03954802259887006
182,0.8708133971291866,0.1016949152542373,0.03954802259887006
183,0.8755980861244019,0.1016949152542373,0.03954802259887006
