estrategia,removed,f,E_mean,E_std,E_relativa_E0
intermediacion_arista_desc,125,0.5980861244019139,0.009651600753295669,0.0,0.0463546755825664
intermediacion_arista_desc,136,0.6507177033492823,0.007993066255778121,0.0,0.038389071685340476
intermediacion_arista_desc,146,0.6985645933014354,0.006783941105975004,0.0,0.032581889489298334
intermediacion_arista_desc,157,0.7511961722488039,0.0050291046053757915,0.0,0.024153766656104445
intermediacion_arista_desc,167,0.7990430622009569,0.004066084574559151,0.0,0.019528577296424873
intermediacion_arista_desc,178,0.8516746411483254,0.002974661872966958,0.0,0.014286696022121353
intermediacion_arista_desc,188,0.8995215311004785,0.0023005478513953093,0.0,0.011049063470345653
intermediacion_arista_desc,199,0.9521531100478469,0.0008453175826057182,0.0,0.00405988843794096
intermediacion_arista_adaptativa,0,0.0,0.2082120224550887,0.0,1.0
intermediacion_arista_adaptativa,10,0.04784688995215311,0.09779965208990615,0.0,0.4697118395792996
intermediacion_arista_adaptativa,21,0.10047846889952153,0.052116504023283626,0.0,0.25030496994728124
intermediacion_arista_adaptativa,31,0.14832535885167464,0.035478727957541506,0.0,0.170397115109884
intermediacion_arista_adaptativa,42,0.20095693779904306,0.025268575586372223,0.0,0.12135982969870364
intermediacion_arista_adaptativa,52,0.24880382775119617,0.020672829994863907,0.0,0.09928739825445493
intermediacion_arista_adaptativa,63,0.3014354066985646,0.016959852764937507,0.0,0.08145472372324582
intermediacion_arista_adaptativa,73,0.3492822966507177,0.01453625235404896,0.0,0.06981466383471889
intermediacion_arista_adaptativa,84,0.4019138755980861,0.012134052388289676,0.0,0.05827738593196264
intermediacion_arista_adaptativa,94,0.44976076555023925,0.010336414997431946,0.0,0.049643699127227436
intermediacion_arista_adaptativa,104,0.49760765550239233,0.00882768361581921,0.0,0.0423975691303961
intermediacion_arista_adaptativa,115,0.5502392344497608,0.007415254237288136,0.0,0.03561395806953273
intermediacion_arista_adaptativa,125,0.5980861244019139,0.006323831535695943,0.0,0.030372076795229207
intermediacion_arista_adaptativa,136,0.6507177033492823,0.005264509501797637,0.0,0.025284368499581673
intermediacion_arista_adaptativa,146,0.6985645933014354,0.004301489470980997,0.0,0.0206591791399021
intermediacion_arista_adaptativa,157,0.7511961722488039,0.0034026707755521316,0.0,0.016342335737534498
intermediacion_arista_adaptativa,167,0.7990430622009569,0.002696456086286595,0.0,0.012950530207102809
intermediacion_arista_adaptativa,178,0.8516746411483254,0.001990241397021058,0.0,0.009558724676671121
intermediacion_arista_adaptativa,188,0.8995215311004785,0.0013803287108371854,0.0,0.006629438082207391
intermediacion_arista_adaptativa,199,0.9521531100478469,0.0006420133538777606,0.0,0.0030834595731197164
puentes_P1_primero,0,0.0,0.2082120224550887,0.0,1.0
puentes_P1_primero,10,0.04784688995215311,0.11737359470410322,0.0,0.5637215052239392
puentes_P1_primero,21,0.10047846889952153,0.08660362706972878,0.0,0.41593960833077814
puentes_P1_primero,31,0.14832535885167464,0.0807576369017047,0.0,0.3878625064463994
puentes_P1_primero,42,0.20095693779904306,0.0786068921662142,0.0,0.37753291687644835
puentes_P1_primero,52,0.24880382775119617,0.06777841979113157,0.0,0.3255259662335366
