nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,6,0.03409090909090909,0.045064935064935065,0.2146341463414634,0.17480342025586842
CC-MONJAS-D126,Campus Central,agregacion,8,0.045454545454545456,0.07811688311688311,0.21621621621621623,0.18545485270489273
CC-PROMAS-D31,Campus Central,agregacion,4,0.022727272727272728,0.03383116883116883,0.2141119221411192,0.16554091349346242
CC-PSICOLOGIA-D125,Campus Central,agregacion,4,0.022727272727272728,0.02266233766233766,0.21359223300970873,0.16542489758393691
CC-QUIMICA-D109,Campus Central,agregacion,5,0.02840909090909091,0.045,0.2146341463414634,0.17010740012970924
CCADM-2A-A43,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.028705645697601985
CCADM-2A-A44,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.028705645697601985
CCADM-2A-A45,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.028705645697601985
CCBIB-1A-A71,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.0263954802404665
CCJ-1A-A10,Campus Central,acceso,1,0.005681818181818182,0.0,0.17886178861788618,0.0015583582477318224
CCJ-1A-A11,Campus Central,acceso,1,0.005681818181818182,0.0,0.17886178861788618,0.0015583582477318224
CCJ-CJURIDICO-D4,Campus Central,agregacion,3,0.017045454545454544,0.02266233766233766,0.21755253399258342,0.009766492088515428
CEA-0A-A108,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15841584158415842,0.0013374298241022892
CEN-1A-A20,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
CENDIA-0A-A19,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.52456380597425e-05
CMED-0A-A42,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.028705645697601985
CP-EADMINA1-D6,Campus Paraiso,agregacion,9,0.05113636363636364,0.0890909090909091,0.1797752808988764,0.0005314921174887701
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,3,0.017045454545454544,0.03383116883116883,0.17795753286147623,0.0004462582925431882
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,5,0.02840909090909091,0.0561038961038961,0.17868020304568527,0.00047157700624707516
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,6,0.03409090909090909,0.08883116883116883,0.1797752808988764,0.00048610661791990024
CP-POSGRADO-D2,Campus Paraiso,agregacion,6,0.03409090909090909,0.06714285714285714,0.1790437436419125,0.00048534517114410126
CP-TECMEDICO-D3,Campus Paraiso,agregacion,5,0.02840909090909091,0.0561038961038961,0.17868020304568527,0.00047157700624707506
CPAR-C10,Campus Paraiso,core,7,0.03977272727272727,0.4042857142857143,0.2146341463414634,0.002652503689758686
CREDU-0B-A94,Campus Central,acceso,1,0.005681818181818182,0.0,0.1765295887662989,0.026413991937849112
CTBLOQ1-0A-A101,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15841584158415842,0.0013374298241022892
CTBLOQ2-0A-A102,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15841584158415842,0.0013374298241022892
CTBLOQ3-0A-A103,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15841584158415842,0.0013374298241022892
DAN-1A-A11,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
DATCC-2A-C2,Campus Central,core,16,0.09090909090909091,0.17059910327767486,0.24753867791842477,0.481777558047485
DATCC-2A-C3,Campus Central,core,17,0.09659090909090909,0.4467722892187181,0.2682926829268293,0.5021770336472012
DT-0A-C12,Campus Balzay,core,7,0.03977272727272727,0.08331761492475781,0.2097735399284863,0.020074157977387957
DT-0A-C13,Campus Balzay,core,8,0.045454545454545456,0.2235036332714906,0.22797927461139897,0.025769436246880967
EA-0A-A114,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.1587015329125338,0.0013005069400095915
EA-1A-A115,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.1587015329125338,0.0013005069400095915
EA-1A-A116,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.1587015329125338,0.0013005069400095915
ECOK1-1A-A101,Campus Central,acceso,1,0.005681818181818182,0.0,0.17759838546922302,0.027934417618452154
